PERMNO,DIVAMT,EXDT
10299,0.27,20140212
10299,0.27,20140514
10299,0.27,20140813
10299,0.27,20141112
10299,0.3,20150211
10299,0.3,20150513
10299,0.3,20150812
10299,0.3,20151110
10299,0.32,20160210
10299,0.32,20160511
10299,0.32,20160810
10299,0.32,20161116
10300,,
10301,,
10302,0.09,20110622
10302,0.09,20111004
10302,0.09,20120103
10302,0.11,20120327
10302,0.11,20120626
10302,0.11,20120925
10302,0.11,20121224
10302,0.11,20130326
10302,0.11,20130625
10302,0.11,20130924
10302,0.11,20131223
10302,0.11,20140325
10302,0.11,20140624
10302,0.11,20140923
10302,0.11,20141223
10302,0.11,20150324
10302,0.11,20150623
10302,0.11,20150922
10302,0.11,20151229
10302,0.11,20160329
10302,0.11,20160628
10302,0.11,20160927
10302,0.11,20161227
10303,,
10304,,
10305,,
10306,,
10307,,
10308,0.34,20100203
10308,0.34,20100505
10308,0.34,20100804
10308,0.34,20101103
10308,0.34,20110202
10308,0.34,20110504
10308,0.36,20110803
10308,0.36,20111102
10308,0.36,20120202
10308,0.36,20120503
10308,0.36,20120802
10308,0.38,20121101
10308,0.38,20130131
10308,0.38,20130502
10308,0.38,20130725
10308,0.4,20131031
10308,0.4,20140130
10308,0.4,20140501
10308,0.4,20140731
10308,0.42,20141031
10308,0.42,20150205
10308,0.42,20150501
10308,0.42,20150806
10308,0.44,20151105
10308,0.44,20160205
10308,0.44,20160429
10308,0.44,20160729
10308,0.45,20161104
10309,,
10310,,
10311,,
10312,,
10313,,
10314,,
10315,,
10316,,
10317,,
10318,0.15,20101217
10318,0.18,20111212
10318,0.22,20121212
10318,0.26,20131219
10318,0.3,20141224
10318,0.34,20151223
10318,0.38,20161222
10319,,
10320,,
10321,,
10322,,
10323,,
10324,,
10325,,
10326,,
10327,,
10328,,
10329,,
10330,,
10331,,
10332,,
10333,,
10334,,
10335,,
10336,,
10337,,
10338,,
10339,,
10340,,
10341,,
10342,,
10343,,
10344,,
10345,,
10346,,
10347,,
10348,,
10349,235,20150714
10350,,
10351,,
10352,,
10353,,
10354,,
10355,,
10356,,
10357,,
10358,,
10359,,
10360,,
10361,,
10362,,
10363,,
10364,,
10365,,
10366,,
10367,,
10368,,
10369,,
10370,,
10371,,
10372,,
10373,,
10374,,
10375,0.05,20100127
10375,0.05,20100428
10375,0.05,20100728
10375,0.05,20101027
10375,0.05,20110126
10375,0.05,20110427
10375,0.05,20110727
10375,0.05,20111026
10375,0.05,20120125
10375,0.05,20120425
10375,0.05,20120813
10375,0.05,20121113
10375,0.05,20130213
10375,0.05,20130513
10375,0.05,20130813
10375,0.05,20131113
10375,0.05,20140212
10375,0.05,20140513
10375,0.05,20140813
10375,0.05,20141112
10375,0.05,20150211
10375,0.05,20150513
10375,0.05,20150812
10375,0.075,20151110
10375,0.075,20160210
10375,0.075,20160511
10375,0.075,20160811
10375,0.075,20161110
10376,,
10377,,
10378,,
10379,,
10380,,
10381,,
10382,1,20121116
10382,0.1,20130509
10382,0.1,20130809
10382,0.1,20131107
10382,0.1,20140306
10382,0.1,20140508
10382,0.1,20140808
10382,0.1,20141106
10382,0.1,20150306
10382,0.1,20150508
10382,0.1,20150807
10382,0.1,20151106
10382,0.1,20160308
10382,0.1,20160509
10382,0.1,20160809
10382,0.1,20161108
10383,,
10384,,
10385,,
10386,,
10387,,
10388,,
10389,,
10390,,
10391,,
10392,,
10393,,
10394,,
10395,0.09,20160616
10395,0.09,20160817
10395,0.09,20161116
10396,,
10397,0.05,20100107
10397,0.05,20100415
10397,0.05,20100701
10397,0.05,20100930
10397,1.6,20101118
10397,0.05,20110106
10397,0.05,20110414
10397,0.05,20110630
10397,0.05,20110929
10397,0.5,20111128
10397,0.05,20120105
10397,0.05,20120412
10397,0.05,20120628
10397,0.05,20120927
10397,1.5,20121127
10397,0.05,20130103
10397,0.05,20130411
10397,0.05,20130627
10397,0.05,20131003
10397,0.05,20140102
10397,0.05,20140410
10397,0.05,20140702
10397,0.05,20141002
10397,0.05,20141231
10397,0.05,20150416
10397,0.05,20150701
10397,0.06,20151001
10397,0.06,20151230
10397,0.06,20160414
10397,0.06,20160706
10397,0.06,20160929
10397,0.06,20161229
10398,,
10399,,
10400,,
10401,,
10402,,
10403,,
10404,,
10405,,
10406,,
10407,,
10408,,
10409,,
10410,,
10411,,
10412,,
10413,,
10414,,
10415,,
10416,,
10417,,
10418,,
10419,,
10420,,
10421,0.04,20100329
10421,0.04,20100628
10421,0.04,20100928
10421,0.04,20101229
10421,0.04,20110329
10421,0.04,20110628
10421,0.04,20110928
10421,0.04,20111228
10421,0.04,20120328
10421,0.04,20120627
10421,0.04,20120926
10421,0.04,20130104
10421,0.04,20130326
10421,0.04,20130626
10421,0.04,20130926
10421,0.04,20140102
10421,0.04,20140327
10421,0.04,20140626
10421,0.04,20140926
10421,0.04,20141229
10421,0.04,20150327
10421,0.04,20150626
10421,0.04,20150928
10421,0.04,20151229
10421,0.04,20160329
10421,0.05,20160628
10421,0.05,20160928
10421,0.05,20161228
10422,,
10423,,
10424,,
10425,,
10426,,
10427,,
10428,,
10429,,
10430,,
10431,,
10432,,
10433,,
10434,,
10435,,
10436,,
10437,,
10438,,
10439,,
10440,,
10441,,
10442,,
10443,,
10444,,
10445,,
10446,,
10447,,
10448,,
10449,,
10450,,
10451,,
10452,,
10453,,
10454,,
10455,,
10456,,
10457,,
10458,,
10459,,
10460,,
10461,,
10462,,
10463,,
10464,,
10465,,
10466,,
10467,,
10468,,
10469,,
10470,,
10471,,
10472,,
10473,,
10474,,
10475,,
10476,,
10477,,
10478,,
10479,,
10480,,
10481,,
10482,,
10483,,
10484,,
10485,,
10486,,
10487,,
10488,,
10489,,
10490,,
10491,,
10492,,
10493,,
10494,,
10495,,
10496,,
10497,,
10498,,
10499,,
10500,,
10501,0.09,20100311
10501,0.09,20100602
10501,0.09,20100909
10501,0.09,20101202
10501,0.09,20110310
10501,0.09,20110609
10502,,
10503,,
10504,,
10505,,
10506,,
10507,,
10508,,
10509,,
10510,,
10511,,
10512,,
10513,,
10514,0.47,20121206
10514,0.5,20140318
10515,,
10516,0.15,20100216
10516,0.15,20100518
10516,0.15,20100817
10516,0.15,20101116
10516,0.16,20110215
10516,0.16,20110517
10516,0.16,20110816
10516,0.175,20111115
10516,0.175,20120214
10516,0.175,20120515
10516,0.175,20120814
10516,0.175,20121113
10516,0.19,20130215
10516,0.19,20130514
10516,0.19,20130820
10516,0.19,20131112
10516,0.24,20140218
10516,0.24,20140513
10516,0.24,20140819
10516,0.24,20141118
10516,0.28,20150212
10516,0.28,20150519
10516,0.28,20150817
10516,0.28,20151116
10516,0.3,20160211
10516,0.3,20160516
10516,0.3,20160815
10516,0.3,20161114
10517,0.018,20100303
10517,0.012,20100602
10517,0.012,20100830
10517,0.013,20101129
10517,0.013,20110302
10517,0.013,20110602
10517,0.013,20110831
10517,0.015,20111129
10517,0.015,20120301
10517,0.015,20120604
10517,0.015,20120830
10517,0.017,20121129
10517,0.017,20130301
10517,0.017,20130604
10517,0.017,20130829
10517,0.021,20131127
10517,0.021,20140228
10517,0.021,20140603
10517,0.021,20140829
10517,0.023,20141126
10517,0.023,20150306
10517,0.023,20150602
10517,0.023,20150901
10517,0.025,20151127
10517,0.025,20160311
10517,0.025,20160601
10517,0.025,20160831
10517,0.0275,20161208
10518,,
10519,,
10520,,
10521,,
10522,,
10523,,
10524,,
10525,,
10526,,
10527,,
10528,,
10529,,
10530,0.19,20100128
10530,0.19,20100427
10530,0.19,20100727
10530,0.19,20101118
10530,0.19,20110127
10530,0.19,20110428
10530,0.19,20110728
10530,0.19,20111117
10530,0.19,20120201
10530,0.19,20120502
10530,0.19,20120802
10530,0.19,20121115
10530,0.19,20121212
10530,0.19,20130501
10530,0.19,20130801
10530,0.19,20131114
10530,0.2,20140130
10530,0.2,20140501
10530,0.2,20140731
10530,0.2,20141113
10530,0.2,20150129
10530,0.2,20150430
10530,0.2,20150730
10530,0.2,20151112
10530,0.2,20160204
10530,0.2,20160505
10530,0.2,20160804
10530,0.2,20161117
10531,,
10532,,
10533,,
10534,,
10535,,
10536,,
10537,,
10538,,
10539,,
10540,,
10541,,
10542,,
10543,,
10544,,
10545,,
10546,,
10547,,
10548,,
10549,,
10550,,
10551,,
10552,,
10553,,
10554,,
10555,,
10556,,
10557,,
10558,,
10559,,
10560,,
10561,,
10562,,
10563,,
10564,,
10565,,
10566,,
10567,,
10568,0.01,20100329
10568,0.01,20100622
10568,0.01,20100909
10568,0.01,20101221
10568,0.01,20110323
10568,0.01,20110622
10569,,
10570,,
10571,,
10572,,
10573,,
10574,,
10575,,
10576,,
10577,,
10578,,
10579,,
10580,,
10581,,
10582,,
10583,,
10584,,
10585,,
10586,,
10587,,
10588,,
10589,,
10590,,
10591,,
10592,,
10593,,
10594,,
10595,,
10596,,
10597,,
10598,,
10599,,
10600,,
10601,,
10602,,
10603,,
10604,,
10605,,
10606,0.11,20100218
10606,0.11,20100520
10606,0.11,20100819
10606,0.11,20101118
10606,0.11,20110216
10606,0.11,20110519
10606,0.11,20110818
10606,0.11,20111117
10606,0.11,20120216
10606,0.11,20120517
10606,0.11,20120816
10606,0.11,20121115
10606,0.11,20130227
10606,0.13,20130516
10606,0.13,20130815
10606,0.13,20131114
10606,0.13,20140226
10606,0.15,20140515
10606,0.15,20140814
10606,0.15,20141120
10606,0.15,20150226
10606,0.17,20150514
10606,0.17,20150813
10606,0.17,20151125
10606,0.17,20160229
10606,0.18,20160531
10606,0.18,20160831
10606,0.18,20161130
10607,,
10608,,
10609,,
10610,,
10611,,
10612,,
10613,,
10614,,
10615,,
10616,,
10617,,
10618,,
10619,,
10620,,
10621,,
10622,,
10623,,
10624,,
10625,,
10626,,
10627,,
10628,,
10629,0.12,20100225
10629,0.12,20100527
10629,0.12,20100830
10629,0.12,20101129
10629,0.12,20110225
10629,0.12,20110527
10629,0.12,20110830
10629,0.12,20111129
10629,0.12,20120228
10629,0.12,20120531
10629,0.12,20120830
10629,0.12,20121129
10629,0.12,20130228
10629,0.12,20130530
10629,0.12,20130829
10629,0.12,20131127
10629,0.12,20140227
10629,0.12,20140529
10629,0.12,20140828
10629,0.12,20141126
10629,0.12,20150226
10629,0.12,20150528
10629,0.12,20150828
10629,0.12,20151127
10629,0.12,20160229
10629,0.12,20160527
10629,0.12,20160830
10629,0.12,20161129
10630,,
10631,,
10632,,
10633,,
10634,,
10635,,
10636,,
10637,,
10638,,
10639,,
10640,,
10641,,
10642,,
10643,,
10644,,
10645,,
10646,,
10647,,
10648,,
10649,1,20120328
10649,1,20121213
10650,,
10651,,
10652,,
10653,,
10654,,
10655,,
10656,0.1,20100610
10656,0.1,20101222
10656,0.1,20110609
10656,0.1,20111223
10656,0.1,20120607
10656,0.055,20120913
10656,0.055,20121213
10656,0.055,20130313
10656,0.055,20130612
10656,0.06,20130912
10656,0.06,20131212
10656,0.06,20140311
10656,0.06,20140610
10656,0.06,20140911
10656,0.06,20141211
10656,0.06,20150310
10656,0.06,20150609
10656,0.06,20150917
10656,0.06,20151215
10656,0.06,20160309
10656,0.06,20160607
10656,0.065,20160907
10656,0.065,20161208
10657,,
10658,,
10659,,
10660,,
10661,,
10662,,
10663,,
10664,,
10665,,
10666,,
10667,,
10668,,
10669,,
10670,,
10671,,
10672,,
10673,,
10674,,
10675,,
10676,,
10677,,
10678,,
10679,,
10680,,
10681,,
10682,,
10683,,
10684,,
10685,,
10686,,
10687,,
10688,,
10689,,
10690,,
10691,,
10692,,
10693,0.18,20130927
10693,0.18,20131230
10693,0.18,20140328
10693,0.18,20140627
10693,0.21,20140929
10693,0.21,20141230
10693,0.21,20150330
10693,0.21,20150629
10693,0.23,20150929
10693,0.23,20151229
10693,0.23,20160330
10693,0.23,20160629
10693,0.24,20160929
10693,0.24,20161229
10694,,
10695,,
10696,,
10697,,
10698,,
10699,,
10700,,
10701,,
10702,,
10703,,
10704,,
10705,,
10706,,
10707,,
10708,,
10709,,
