date,mktrf,smb,hml
19690605,0.000800,-0.001200,-0.001600
19690606,-0.006900,-0.001100,-0.001900
19690609,-0.009800,-0.001100,-0.002600
19690610,-0.007900,-0.000400,-0.000600
19690611,-0.010000,-0.003400,0.002200
19690612,-0.014200,-0.005500,0.002900
19690613,0.003100,-0.002500,-0.001500
19690616,-0.004000,-0.004400,0.000600
19690617,-0.005200,-0.006700,-0.002300
19690618,-0.002200,-0.001400,0.001600
19690619,-0.008700,-0.007900,0.000900
19690620,-0.007400,-0.006800,0.005300
19690623,-0.006500,-0.009400,-0.002200
19690624,0.010900,-0.000800,-0.005300
19690625,-0.004100,-0.002400,0.002600
19690626,0.001700,-0.003200,-0.006200
19690627,0.000700,0.000200,-0.001400
19690630,0.004600,0.002500,-0.001700
19690701,0.004600,0.003500,-0.005900
19690702,0.008600,0.003700,-0.004600
19690703,0.007400,0.004100,-0.003500
19690707,-0.006800,-0.000400,0.005500
19690708,-0.013800,0.000400,0.004600
19690709,-0.008000,-0.002200,0.001000
19690710,-0.016100,-0.004100,0.004400
19690711,0.002900,-0.006000,0.000500
19690714,-0.013700,-0.002500,0.006900
19690715,-0.004300,-0.005300,0.001300
19690716,0.010700,0.000800,-0.006000
19690717,0.005300,-0.002000,-0.000700
19690718,-0.007800,0.002300,0.003400
19690722,-0.015700,0.001100,0.006300
19690723,-0.005300,-0.006700,-0.004200
19690724,-0.004200,-0.001700,0.003800
19690725,-0.010300,-0.002900,0.006100
19690728,-0.022600,-0.015900,0.014700
19690729,-0.009300,-0.006400,0.004100
19690730,0.005200,0.001300,-0.010900
19690731,0.022200,0.005000,-0.012600
19690801,0.019700,0.006400,-0.004300
19690804,-0.005300,-0.000200,0.003100
19690805,0.004200,-0.003700,-0.004100
19690806,0.006500,0.002400,-0.005700
19690807,0.000900,-0.000500,0.000300
19690808,-0.000300,-0.000800,0.001900
19690811,-0.005900,0.000700,0.001200
19690812,-0.008200,-0.001900,0.002700
19690813,0.000300,-0.003000,-0.005100
19690814,0.007500,0.003700,-0.009900
19690815,0.008100,-0.001900,-0.003800
19690818,0.007200,0.004000,-0.006000
19690819,0.005400,0.003400,-0.004300
19690820,-0.000200,-0.000600,0.001800
19690821,0.002500,0.000400,-0.002700
19690822,0.006500,-0.000300,-0.002500
19690825,-0.009300,0.002000,0.006200
19690826,-0.007400,-0.001400,0.001500
19690827,0.002700,0.001100,-0.003900
19690828,0.004100,-0.002100,-0.003800
19690829,0.007400,-0.000400,0.000000
19690902,-0.001100,-0.000800,0.004200
19690903,-0.007100,-0.001700,0.004100
19690904,-0.008700,0.000100,-0.001500
19690905,-0.006500,-0.000500,0.000100
19690908,-0.010700,-0.001500,0.003800
19690909,0.007400,-0.002400,-0.004600
19690910,0.016400,-0.001000,-0.007700
19690911,-0.007000,0.005000,0.001300
19690912,0.000500,-0.001300,-0.001300
19690915,0.006200,0.003200,-0.006700
19690916,0.001200,0.001900,-0.006600
19690917,-0.003100,0.001100,-0.004400
19690918,0.002800,0.001900,-0.005500
19690919,0.003500,0.004000,-0.009400
19690922,0.004100,-0.000900,-0.006700
19690923,-0.000100,0.001800,0.001000
19690924,-0.001900,-0.001100,0.001300
19690925,-0.007500,0.001500,0.006600
19690926,-0.007000,0.001500,0.001800
19690929,-0.007300,0.001200,0.000900
19690930,-0.003200,0.000800,-0.003800
19691001,-0.006300,0.001200,0.002300
19691002,0.008600,-0.000800,-0.007600
19691003,-0.000800,-0.001700,0.001800
19691006,0.001700,-0.000100,-0.004900
19691007,-0.002300,0.000500,0.000600
19691008,-0.005300,-0.001200,0.001100
19691009,0.003300,-0.001900,-0.004900
19691010,0.006500,0.002600,-0.006500
19691013,0.012500,0.008400,-0.007200
19691014,0.012800,0.001000,0.000800
19691015,0.000400,0.005500,0.002000
19691016,0.006900,0.002800,-0.000800
19691017,-0.000900,0.004700,-0.001200
19691020,0.003000,0.003600,0.000200
19691021,0.007900,0.004000,-0.002200
19691022,0.006100,0.000800,0.002100
19691023,-0.003300,0.000500,0.000800
19691024,0.006900,0.000500,-0.008800
19691027,-0.001000,0.004200,-0.001200
19691028,-0.003100,-0.001400,0.001700
19691029,-0.009000,0.000100,0.005200
19691030,0.001700,0.001700,-0.002800
19691031,0.003400,0.000600,-0.000300
19691103,-0.000700,-0.002300,0.002500
19691104,0.000700,0.002000,-0.004900
19691105,0.004600,-0.001100,-0.003900
19691106,0.001400,-0.001400,-0.001800
19691107,0.006500,-0.002600,-0.000600
19691110,0.000600,-0.001700,0.000500
19691111,-0.003700,-0.000400,0.002900
19691112,-0.001700,0.001100,-0.001600
19691113,-0.005900,-0.003800,0.003500
19691114,-0.004300,-0.001200,0.001300
19691117,-0.007900,-0.002800,0.001500
19691118,-0.000900,-0.004400,-0.000700
19691119,-0.005500,-0.003000,0.005500
19691120,-0.011200,-0.005200,0.003700
19691121,-0.006900,-0.001900,0.003500
19691124,-0.010800,-0.003500,-0.001000
19691125,-0.002500,0.001600,-0.005400
19691126,0.003600,0.002100,-0.009500
19691128,0.006400,0.002600,-0.008100
19691201,-0.007600,-0.004000,0.002300
19691202,-0.006800,-0.000700,-0.002500
19691203,-0.012300,-0.005800,-0.000200
19691204,0.004000,-0.000300,-0.009500
19691205,-0.003800,-0.004800,0.004400
19691208,-0.012700,-0.004200,0.002000
19691209,-0.002000,-0.004500,-0.004800
19691210,-0.000700,-0.001700,-0.007300
19691211,0.000700,-0.001000,-0.002400
19691212,0.003000,0.000400,-0.002800
19691215,-0.002900,0.001000,-0.001300
19691216,-0.010000,-0.004700,-0.000600
19691217,-0.005400,-0.003100,-0.000700
19691218,0.015900,-0.001900,-0.007900
19691219,0.008200,0.001300,0.000100
19691222,-0.010000,-0.003200,0.003500
19691223,-0.005300,-0.006000,0.002900
19691224,0.011700,0.004900,-0.001500
19691226,0.008100,0.001000,-0.000400
19691229,-0.007500,-0.002700,-0.000400
19691230,0.003900,-0.002300,-0.001600
19691231,0.005500,0.004900,-0.002600
19700102,0.011800,0.013200,0.009700
19700105,0.005900,0.006700,0.007600
19700106,-0.007400,0.001000,0.002800
19700107,-0.001500,0.003800,-0.003500
19700108,0.000400,0.001700,-0.001800
19700109,-0.003100,0.001900,0.000800
19700112,-0.008000,-0.001000,-0.000400
19700113,0.000500,-0.001700,-0.005000
19700114,-0.002500,-0.001300,-0.002800
19700115,-0.000400,-0.000900,-0.006400
19700116,-0.008200,-0.001000,0.007000
19700119,-0.013100,0.004200,0.010600
19700120,0.001700,0.003000,-0.003900
19700121,0.000600,0.000600,0.001500
19700122,0.001100,0.001500,-0.001100
19700123,-0.010600,-0.001400,0.004200
19700126,-0.011300,-0.003000,0.004200
19700127,-0.006700,0.002100,-0.003200
19700128,-0.009900,0.004100,-0.001400
19700129,-0.013300,-0.000900,0.004400
19700130,-0.008800,-0.002000,0.009300
19700202,0.008200,-0.006400,-0.001300
19700203,0.012600,-0.001600,-0.003000
