"","PERMNO","TICKER","CUSIP","year","RET","mcap"
"7295",14551,"PULM","74584P10",2016,-0.859523819113118,56477.18
"7296",14552,"RXDX","45173110",2015,0.956210954815816,134353.1
"7297",14552,"RXDX","45173110",2016,-0.60447498443851,403267.33
"7298",14554,"TWOU","90214J10",2015,0.42318922504061,793517.8
"7299",14554,"TWOU","90214J10",2016,0.0775575475959034,1237783.04
"7300",14555,"VSAR","92529L10",2015,-0.448104631651114,541390.85
"7301",14555,"VSAR","92529L10",2016,0.202578818829458,352745.8
"7302",14556,"WATT","29272C10",2015,-0.278284375841115,145459.16
"7303",14556,"WATT","29272C10",2016,1.13022059834857,136251.28
"7304",14557,"YPRO","00768Y64",2015,-0.0167360653006871,59925
"7305",14558,"ALLY","02005N10",2015,-0.210839278892159,11354223.1
"7306",14558,"ALLY","02005N10",2016,0.0294095432859312,8984674.8
"7307",14559,"CIO","17858710",2015,0.00823189475359065,159270.67
"7308",14559,"CIO","17858710",2016,0.167999069086786,151092.26
"7309",14560,"CN","23305176",2015,0.0126390006676644,6976.02
"7310",14560,"CN","23305176",2016,-0.0582726724903482,11552
"7311",14564,"ENBL","29248010",2015,-0.485223943201928,4233511.25
"7312",14564,"ENBL","29248010",2016,0.912668181145678,1917933.96
"7313",14565,"FSIC","30263510",2015,-0.00970178352730311,2368470.6
"7314",14565,"FSIC","30263510",2016,0.259190096499616,2163766.77
"7315",14566,"FPI","31154R10",2015,0.102380913867618,83119
"7316",14566,"FPI","31154R10",2016,0.0648579923263106,129176.74
"7317",14567,"GRUB","40011010",2015,-0.333697243048312,2981369.25
"7318",14567,"GRUB","40011010",2016,0.554549770155573,2005952.12
"7319",14570,"IMS","44970B10",2015,-0.0066376771681963,8540633.64
"7320",14571,"BYLD","46434V78",2015,-0.0142318271872329,8802.5
"7321",14571,"BYLD","46434V78",2016,0.0590547162017512,8389.36
"7322",14572,"LEJU","50187J10",2015,-0.456181156057212,123000
"7323",14572,"LEJU","50187J10",2016,-0.160831114057875,54500
"7324",14573,"LQ","50420D10",2015,-0.383047750681878,2896821.68
"7325",14573,"LQ","50420D10",2016,0.0440853377876373,1737162.6
"7326",14574,"MC","60786M10",2015,-0.135406897411256,669790.8
"7327",14574,"MC","60786M10",2016,0.301769345409115,575179.41
"7328",14575,"NYRT","64976L10",2015,0.135422245874206,1737001.35
"7329",14575,"NYRT","64976L10",2016,-0.0850713478763415,1854353.2
"7330",14578,"OPWR","68375Y10",2015,-0.257907283698533,723720.36
"7331",14579,"PAYC","70432V10",2015,0.429169610840121,1402887.98
"7332",14579,"PAYC","70432V10",2016,0.208877514655216,2125934.91
"7333",14580,"RUBI","78112V10",2015,0.019205950029672,576734.24
"7334",14580,"RUBI","78112V10",2016,-0.548933817081961,710951.58
"7335",14581,"DXJC","97717W35",2015,-0.00278106902255781,1288
"7336",14581,"DXJC","97717W35",2016,0.00851215814447515,-2392
"7337",14582,"DXJF","97717W46",2015,0.0951452575462906,4808
"7338",14582,"DXJF","97717W46",2016,-0.0619702089486945,24078.7
"7339",14583,"DXJT","97717W48",2015,0.0756447320473455,3999
"7340",14583,"DXJT","97717W48",2016,0.0411757164294446,2535
"7341",14586,"DXJR","97717W63",2015,0.032853202118488,34798.53
"7342",14586,"DXJR","97717W63",2016,0.032148339560427,19222.5
"7343",14587,"DXJH","97717X50",2015,0.389109579715824,-1270.5
"7344",14587,"DXJH","97717X50",2016,-0.0590340820729424,20184
"7345",14588,"ZOES","98979J10",2015,-0.0645275268104634,558830
"7346",14588,"ZOES","98979J10",2016,-0.142605695130235,547985.68
"7347",14589,"ADMS","00548A10",2015,0.630409262941203,306966.99
"7348",14589,"ADMS","00548A10",2016,-0.403244832070629,516474.55
"7349",14590,"BLVD","00856G10",2015,-0.34742610095555,-267361.1
"7350",14590,"AGFS","00856G10",2016,-0.581360768664748,311035.84
"7351",14591,"CERU","15708Q10",2015,-0.549837217702494,129202.5
"7352",14591,"CERU","15708Q10",2016,-0.747068886240579,83134.88
"7353",14593,"AAPL","03783310",2010,0.530647693635027,193953401.75718
"7354",14593,"AAPL","03783310",2011,0.255582242891956,303545514.16035
"7355",14593,"AAPL","03783310",2012,0.325877883520692,383354372.54214
"7356",14593,"AAPL","03783310",2013,0.0805950556143553,515524374.35919
"7357",14593,"AAPL","03783310",2014,0.406174880739208,493639209.11
"7358",14593,"AAPL","03783310",2015,-0.0301854589675681,637002389.27
"7359",14593,"AAPL","03783310",2016,0.124805393316749,584111705.45
"7360",14594,"CORI","21887L10",2015,0.331147710174285,114028.01
"7361",14594,"CORI","21887L10",2016,-0.500003838445149,191972.16
"7362",14595,"EVAR","G5559810",2015,-0.792307965057776,105209
"7363",14595,"EVAR","G5559810",2016,-0.555628167850167,20718.08
"7364",14596,"FIVN","33830710",2015,0.941975006373474,221455.78
"7365",14596,"FIVN","33830710",2016,0.631038063825905,422111.25
"7366",14599,"HNNA","42588510",2015,0.379719445169533,129959.25
"7367",14599,"HNNA","42588510",2016,0.0711750974689198,150430.5
"7368",14600,"KANG","45174L10",2015,0.359046081037059,489565.92
"7369",14600,"KANG","45174L10",2016,-0.152153594770944,912124.2
"7370",14601,"NAVI","63938C10",2015,-0.447151389207786,8771640
"7371",14601,"NAVI","63938C10",2016,0.503382936794253,4013500
"7372",14602,"OPB","68400010",2015,0.316227325901621,796053.72
"7373",14602,"OPB","68400010",2016,-0.17406816932727,1147575
"7374",14603,"PAHC","71742Q10",2015,-0.0340110294015534,538517.6
"7375",14603,"PAHC","71742Q10",2016,-0.011698958245594,533892.8
"7376",14604,"PFIS","71104010",2015,-0.208790471214174,368342.4
"7377",14604,"PFIS","71104010",2016,0.320398689694648,273243.57
"7378",14607,"PIH","68244P10",2015,-0.0267192352906188,49910.3
"7379",14607,"PIH","68244P10",2016,0.0196011329349899,47685
"7380",14608,"SABR","78573M10",2015,0.399310542113038,5380102
"7381",14608,"SABR","78573M10",2016,-0.0904509069757869,7544792.64
"7382",14609,"SPWH","84920Y10",2015,0.76230228580582,309035.02
"7383",14609,"SPWH","84920Y10",2016,-0.272090833689165,539751.4
"7384",14610,"SYRX","87184N20",2015,-0.720589140201166,40202.28
"7385",14610,"SYRX","87184N20",2016,-0.571929497108095,14843.556
"7386",14611,"TEDU","87610810",2015,-0.0594660252731646,237457
"7387",14611,"TEDU","87610810",2016,0.455731341626015,286750.24
"7388",14612,"TRIV","89685A10",2015,-0.470962022313561,262184
"7389",14615,"VTL","92847R10",2015,-0.537904484551174,594538.57
"7390",14615,"VTL","92847R10",2016,-0.622395650504358,320880.69
"7391",14616,"WB","94859610",2015,0.369378782895519,662771.42
"7392",14616,"WB","94859610",2016,1.08205794251488,891153.86
"7393",14617,"ARES","04014Y10",2015,-0.207548067690374,1354415.72
"7394",14617,"ARES","04014Y10",2016,0.566304918242761,1033472.37
"7395",14618,"CMCM","16307510",2015,0.0595271607380166,185400
"7396",14618,"CMCM","16307510",2016,-0.403243405528498,186720
"7397",14619,"CVEO","17878Y10",2015,-0.65450180488496,413060.58
"7398",14619,"CVEO","17878Y10",2016,0.549302888239336,157973.55
"7399",14620,"ASHS","23305175",2015,0.277803706638038,30005
"7400",14620,"ASHS","23305175",2016,-0.221176233900179,37355
"7401",14624,"SPUU","25459Y16",2015,-0.010096606359223,25671.24
"7402",14624,"SPUU","25459Y16",2016,0.211844611278921,9052.887
"7403",14625,"HRTG","42727J10",2015,0.125510080254303,583684.05
"7404",14625,"HRTG","42727J10",2016,-0.27007825784337,632653.65
"7405",14626,"HYGH","46431W60",2015,-0.0650697395983019,46892.5
"7406",14626,"HYGH","46431W60",2016,0.131899409516151,37021.5
"7407",14627,"LQDH","46431W70",2015,-0.0227247760033102,14467.32
"7408",14627,"LQDH","46431W70",2016,0.0542040141186393,27295.32
"7409",14628,"IBDH","46434VAA",2015,0.0153892431424725,10006
"7410",14628,"IBDH","46434VAA",2016,0.0220621327496142,68612.5
"7411",14629,"IBDF","46434VAJ",2015,0.0136444377339731,10011
"7412",14630,"JMEI","48138L10",2015,-0.334799956937538,154623.2
"7413",14630,"JMEI","48138L10",2016,-0.447019948761132,95692.6
"7414",14631,"OUNZ","92107810",2015,-0.109226866074969,58643.52
"7415",14631,"OUNZ","92107810",2016,0.0827069862780556,78732.96
"7416",14632,"DNOW","67011P10",2015,-0.385158704700917,2782671.33
"7417",14632,"DNOW","67011P10",2016,0.293932780966329,1712047.88
"7418",14633,"PBFX","69318Q10",2015,0.0658912884121854,370380.48
"7419",14633,"PBFX","69318Q10",2016,-0.0676801973183757,383908.14
"7420",14634,"PE","70187710",2015,0.156016646431545,1504838.7
"7421",14634,"PE","70187710",2016,0.910030913756069,2523426.81
"7422",14635,"VRP","73937B59",2015,0.029305877403295,116701
"7423",14635,"VRP","73937B59",2016,0.0679402623883538,467639
"7424",14636,"SDPI","86815310",2015,-0.757210598830723,72626.4
"7425",14636,"SDPI","86815310",2016,0.306927831941653,18652.24
"7426",14637,"TIME","88722810",2015,-0.339247204714509,2627550.7
"7427",14637,"TIME","88722810",2016,0.199367583085375,1641136.25
"7428",14638,"WPG","93964W10",2015,-0.335252906917029,2702939.46
"7429",14638,"WPG","93964W10",2016,0.0778772101140586,1929025.05
"7430",14639,"IHDG","97717X59",2015,0.11831251969537,19512
"7431",14639,"IHDG","97717X59",2016,0.0166525003613338,609336
"7432",14640,"EUDG","97717X61",2015,0.0317825338050346,13217.94
"7433",14640,"EUDG","97717X61",2016,-0.0374438107441083,17632
"7434",14641,"ZEN","98936J10",2015,0.084940349076005,1789555.95
"7435",14641,"ZEN","98936J10",2016,-0.198178017714675,2311469.88
"7436",14642,"LPG","Y2106R11",2015,-0.152636780940573,778914.84
"7437",14642,"LPG","Y2106R11",2016,-0.302463630352213,652763.07
"7438",14643,"GLOP","Y2687W10",2015,-0.387481520465593,378244.02
"7439",14643,"GLOP","Y2687W10",2016,0.611926894944468,310963.5
"7440",14644,"ABDC","01374T10",2015,0.0322390784209798,167610.8
"7441",14644,"ABDC","01374T10",2016,0.153354213292015,153553.12
"7442",14645,"AGRX","00847L10",2015,0.589562075735832,117773.2
"7443",14645,"AGRX","00847L10",2016,-0.415982661788342,210886.2
"7444",14646,"ALDR","01433910",2015,0.13544641184316,893023.57
"7445",14646,"ALDR","01433910",2016,-0.370271565322425,1389882.6
"7446",14647,"ALDX","01438T10",2015,-0.0609330885790406,40624.5
"7447",14647,"ALDX","01438T10",2016,-0.210914311795053,64882.84
"7448",14650,"BWFG","06654A10",2015,-0.0523552222119045,149663.55
"7449",14650,"BWFG","06654A10",2016,0.653297976728964,148816.0484
"7450",14651,"CTRE","14174T10",2015,-0.0644687812579255,374699.49
"7451",14651,"CTRE","14174T10",2016,0.468589491149832,510015.5
"7452",14652,"FMB","33739N10",2015,0.0433344426771549,20532
"7453",14652,"FMB","33739N10",2016,0.0126595882747356,41552.08
"7454",14653,"FMBH","32086610",2015,0.441568906839089,124835.75
"7455",14653,"FMBH","32086610",2016,0.338394463290331,218958.6
"7456",14654,"FRSH","69881410",2015,-0.0309778108033245,195194.88
"7457",14654,"FRSH","69881410",2016,-0.625224226208186,185094
"7458",14655,"JD","47215P10",2015,0.394327863713612,13215972.14
"7459",14655,"JD","47215P10",2016,-0.211529376962315,25759373.36
"7460",14656,"SUN","86764P10",2010,0.573774359542187,3234872.03
"7461",14656,"SUN","86764P10",2011,0.0341794713505865,4983530.07
